"Nino12","Nino34","PDO","TSA","SAM","Rainfall"
0.0225,0.8775,-0.46775,0.717030000000001,-0.07,"normal"
-0.065,0.1625,-0.539,0.399384999999999,-0.18,"dry"
-0.365,0.4525,-0.39675,0.316277500000005,0.38,"normal"
-0.455,-0.7925,-0.56275,0.117227500000002,-0.5975,"normal"
0.15,0.415,-0.63625,0.281667500000005,0.74,"wet"
-0.565,-1.5675,-0.9005,0.4123175,1.77,"wet"
-0.415,-0.8325,-0.906,0.412155000000006,1.1175,"normal"
0.2125,1.3725,-0.74825,0.935275000000004,-0.3475,"normal"
-0.5,-1.3925,-0.65375,0.517432500000005,0.2025,"wet"
-0.1725,-0.7675,-0.56475,-0.3033,1.365,"dry"
-0.5025,-0.2725,-0.44775,0.238770000000002,1.24,"dry"
-0.265,-0.2575,-0.31375,0.136517500000004,0.585,"dry"
